corps,titre,avis
Contrefaçon du vulgaire plaqué or De plus elles sont bien trop grandes et non réglables comme indiqué,N'achetez pas,négatif
Pas recu encore à mon domicile ? Comment se fait il. En attente de votre réponse. Bien Cordialement Samuel Gros.,Bracelet non recu,négatif
J'utilise ces boîtes pour faire du diamond.painting et j'en suis très satisfait,Très pratique,positif
"Très joli bola de grossesse. Les couleurs sont discrètes, plus intenses au soleil. Le son de cloche est également très discret donc plaisant a entendre contrairement a d'autres. La boule n'est pas très grosse. Environ je dirais 2cm de diamètre. J'en ai plusieurs et je dois dire que c'est un des seuls que je porte tout le temps. Je recommande cet achat !","Beau, discret",positif
"Acheté pour Halloween je ne l'ai pas encore porté mais il est très joli, j'espère qu'il sera assez solide mais vu le prix on ne risque pas grand chose.",Joli collier,positif
"Très beau, bonne taille très bel effet ; Arrivé avant la date prévue ! Se marie très bien avec mes Pandora",superbe,positif
Trop de problème comme indiqué précédemment pour le paiement.,Super,positif
Pour qu'un bracelet ne tourne pas à l'envers sur le poignet les masses doivent être judicieusement réparties. La partie fermoir d'un poids supérieur au reste. Ce n'est pas le cas sur ce produit. A part cela beau produit qui fait son effet.,Masses mal réparties il tourne à l'envers,négatif
Elle est juste parfaite j'adore bonne qualité rien à dire je recommande,Bonne qualité,positif
"vraiment très déçue par la matière, le bracelet est en plastique , rigide en plus!! dommage , le design était sympa",deçue par la matière,négatif
"Très beau bijoux, charme incontestable. L'extension de chaîne permet une longueur confortable.",Pour les amateurs.,positif
Vraiment bien les boutons de manchette en carbone je re conseil fortement sans hésiter 👍👍👍👍,Bouton de Manchette,positif
Ce bijou est de très mauvaise qualité. Ma femme le porte depuis 3 mois et l'acier est déjà tous jaunit et ça lui donne des plaque rouge.,très mauvaise qualite,négatif
Pas aussi rose que sur photo dommage,Bon produit,positif
bel effet mais qui ne dure vraiment pas longtemps. bracelets qui cassent facilement la qualité n'est pas au RV mais vu le prix...,joli,négatif
"Contente de mon achat, qualité",joli,positif
Je ne peux rien vous dire sur le produit car je ne l'ai toujours pas reçu !!!,Toujours pas reçu,négatif
"délicates boucles d'oreilles, à mettre pour les soirées chics avec une tenue sobre car leur éclats est magnifique et illumine le visage.",boucle de charme,positif
"Conforme à ce que je cherchais, à voir avec le temps.",Boucles acier,positif
Je l'imaginais plus gros mais reste tout de même très joli.,Bien,positif
"Bonne qualités, quelques nœuds de serrage pas fait ou manquants",Bon produit,positif
TOP MERCI très rapide bon vendeur je recommande vivement bon produit article arrivé très rapidement frais de port très corrects,jamais recu,positif
"Jolie bracelet acheté pour un noel entre collègue, cependant pas d'emballage et il fait globalement faux.... pour le prix on ne peux pas demandé plus mais un peu déçu quand même",Jolie bracelet mais..,négatif
C cassés dès le premier jour,Nul,négatif
"très belle croix avec cordon et boitier de rangement,la livraison est correct livré le 10 février au lieu du 8 février à recommander",ABSOLUMENT RAVI,positif
pour accompagner mes tenues vestimentaires.,belles harmonie de couleurs,positif
"Parait plus grand sur la photo , mon fils est decu mais sinon joli pour un enfant de 4 ans mais pour un ados ...... Déçu",Deception,négatif
Beau collier il a beaucoup plus à la personne,conforme,positif
Ce produit réduit les tâches sur le visage .,"Il est inutile de mettre beaucoup ,un peu cher.",positif
Le fermoir ne tient pas. Trop fragile,Produit moyen à eviter,négatif
"la chaine semble solide, à voir dans le temps... je prend ma douche avec, pas de soucis. à priori je recommande...",bien à voir dans le temps,positif
"Très jolie, quoique le plus gros modèle est un peu trop gros à mon goût...mais tout est une histoire de préférence. Pour le reste, nickel :)",Sympa,positif
"supers bracelets, on peut les porter séparément ou tous ensemble, c'est comme on veut. très beau rendu, belles couleurs et matières sympas",super bracelet,positif
"Les colliers semble de bonne qualité mais le collier « sablier » est arrivé cassé, j’ai dû le recoller.",Problème avec un collier,négatif
"J'ai bien reçu le bracelet, il n'y a aucun poinçon, c'est du toc noté comme étant de l'argent 925 sterling, c'est donc une vente mensongère a déconseiller",ce n'est pas en argent....,négatif
Rapport qualité prix indétrônable,Très bien,positif
"Avis mitigé. Le matériel à l'air d'assez bonne qualité avec un prix qui défi toute concurrence. Malheureusement il n'y a pas de canule qui aide au passage du bijou, et les aiguilles creuses n'ont pas la taille adéquat pour y passer le bijou non plus. En gros on perce et on se débrouille pour essayer de glisser le bijou dans le trou que l'on vient de faire, avec beaucoup moins de facilité que prévu. Enfin bon, attention à ne pas réutiliser vos gants et de bien stériliser les piercings. Pensez bien à stériliser la pince avant chaque utilisation et vos aiguilles si vous comptez les réutiliser. On ne le dira jamais assez ;)",Mitigé,positif
Licornes assez petites et cassées en 1 mois sans utilisation anormale. L'argent à noirci en 1 mois également.,Déçue,négatif
Je bien depuis que je porte.,Très utile.,positif
comment faire une évaluation quand c'est le seul objet que je n'ai pas reçu! pouvez vous me le renvoyer svp?,??,négatif
"Superbe bijoux conforme en tout point, dans une belle boite avec pochette de rangement, livraison à la date prévue. La chaîne à l'air fragile mais c'est mon avis personnel",Magnifique,positif
"très beau produit , très naturel, qui attire le regard",vous avez dit Français ?,positif
La quantité et très sympa,Très bien,positif
ce bijou convient à des personnes jeunes et matures. de belle qualité et sympa au poignet.,bracelet sympa,positif
Le collier s’est cassé en à peine deux jours. Je suis dégoûtée. C’est vraiment dommage car il est vraiment très joli,Dégoûtée,négatif
Bravo pour le service client. Belle qualité et expérience formidable avec le vendeur. Merci.,Belle qualité et service client parfait.,positif
Pas reçu mon article Demande de remboursement en cours,Pas reçu mon article Demande de remboursement en cours,négatif
"La bague en elle-même est belle, mais elle est vraiment trop petite ! Elle convient bien pour une enfant ou une personne aux doigts très fins. Voulant la mettre à l'annulaire (taille 56 normalement), je joins tout juste les 2 extrémités de la bague... il y a quand même un espace et cela ne fait pas joli. Très déçue",très petite,négatif
Collier trop petit. Je suis déçue puisqu'il devait convenir aussi aux hommes et femmes je le trouve ras du cou,Collier,négatif
Très mignon et élégant. J'adore ce bracelet ajustable.,Beau bracelet comme cadeau pour les autres,positif
"Très bon produit. très jolie. Un rapport qualité prix très intéressant. Produits d'une qualité exceptionnelle, un service de très haute qualité et un timing d'expédition respecté à la lettre !",Jolie,positif
"Commande non reçue mais affichée reçue, aucun remboursement reçu",Commande expédiée payée mais jamais reçu,négatif
"La bague est jolie, mais de qualité très moyenne par rapport au prix. Elle taille petit malgré l'ouverture, pour jeunes filles et non pour maman. Le métal est léger, elle est même tombée de mon doigt. Heureusement qu'elle fait du bruit sur le sol.",Taille petit,négatif
Pile pour une seul utilisation. Pas assez de vibration.,Pas terrible,négatif
"Joli,mais ce n'est pas un swarovski,car le bracelet du fermoir à du jeu",Revoir le fermoir,positif
"Très joli, bonne qualité, sauf l’elastique Qui se détend très vite, dommage, il est devenu trop grand au bout de 2 jours",Élastique à revoir...,positif
Je l’ai porté une semaine et il s’est cassé. Très décevant,Pas solide du tout,négatif
"BO très fragiles, tiges tordues et super déçue, pas conforme à la photo, le fermoir est en plastique et ça fait très cheap. Dommage car elles sont originales et assez jolies",Du bon et du mauvais,négatif
La caliter est pas mal mais j'ai reçue que dès couleur que je n'aime pas et des couleurs unie pas comme sur la photo c'est dommage. Le plastique des deux en plastique part très vite il tien une journée ou deux c'est tout mais vue que la boule a l'intérieure étais jolie comparer a ce que j'ai reçu j'étais contente quand même.,Couleurs pas identique à la photo,négatif
"Petit,mignon,discret!!!que dire de plus??en supplément:c'est très abordable,donc un petit bijou pas cher pour soi ou à offrir pour le geste!!!",pendentif,positif
que dire sur ce produit que je n'ai jamais reçu sinon qu' il est invisible. commander il y a plus d'un an,jamais reçu,négatif
Pas de certificat ! Je demande à Amazon de contacter le vendeur car aucun moyen d obtenir le contact. Comment faire,Decue,négatif
"Super jolies avec un beau rendu , elles ne sont pas trop grosses mais présentes quand même, belle qualité je recommande",J ADORE,positif
jolies mais dommage qu'elles soient arrivées avec un fermoir tordu !!!! donc pas facile à porter !!! peut être dois-je demander un remboursement ?,créoles,négatif
Tout à fait correct pour le prix.,Super rapport qualité/prix,positif
